,Date,Item,Size,Brand,Color,Design,Style,Qty,Department,Product Category,product,size
14355,15-08-2019,Char-Bagh-38///50%/Handloom/Cotton/50%/Silk///Off/White/&/Red//26048506,L,INJIRI,Off White & Red,50% Handloom Cotton 50% Silk,Char-Bagh-38,1,FASHION,CLOTHS,DRESS,LARGE
14356,15-08-2019,BULK/JAGGERY/POPS//QUINOA/NATURAL/AHFW026,50g,OFC,NATURAL,JAGGERY,BULK/JAGGERY/POPS,3,WELLNESS,KITCHEN,QUINOA,50 Gms
14357,15-08-2019,BULK/MASALA/POPS//QUINOA/NATURAL/AHFW028,50g,OFC,NATURAL,MASALA,BULK/MASALA/POPS,3,WELLNESS,KITCHEN,QUINOA,50 Gms
14358,15-08-2019,BULK/BUCKWHEAT/FLOUR//QUINOA/NATURAL/AHFW033,250GM,OFC,NATURAL,BUCKWHEAT FOUR,BULK/BUCKWHEAT/FLOUR,2,WELLNESS,KITCHEN,BUCKWHEAT FLOUR,250 Gm
14359,15-08-2019,GRS/841//STERLING/SILVER/MTW076,FS,MODERN TWIST,SILVER,GRS 841,GRS/841,1,JEWELLERY,ACCESSORIES,RINGS,FREE SIZE
14360,15-08-2019,kos21//100%/COTTON/BEIGEKOS1939,M,KOS,BEIGE,STRIPE PANEL,kos21,1,FASHION,CLOTHS,SHIRT,MEDIUM
14361,16-08-2019,ROYAL/CRP/AOB/1/M//100%/SILK/MEDIUMINDIGO/110112055,S,11.11,MEDIUMINDIGO,11351,ROYAL/CRP/AOB/1/M,1,FASHION,CLOTHS,DRESS,SMALL
14362,16-08-2019,CHAKESANG//8//COTTON/ASSORTEDHN026,106X182,JAIPUR MODERN ASSO,ASSORTED,HEIRLOOM TRIBAL,CHAKESANG//8,1,HOME,HOME DECOR,DHURRI,106X182
14363,16-08-2019,HANDMADE//100%/COTTON/MULTI/SIL007,FS,SILAIWALI,MULTI,HANDSTITCH TOYS,HANDMADE,1,ACCESSORIES,ACCESSORIES,DOLLS,FREE SIZE
14364,16-08-2019,92EM005//NA/GREENAT034,FS,ABRAHAM & THAKORE,GREEN,HW FABRIC,92EM005,1,FASHION,COSMETICS,EYEMASK,FREE SIZE
14365,16-08-2019,MYSORE/NUGGETS//COFFEE/SINGLE/ARABICA/BLHU1905,70GM,BILI HU,SINGLE ARABICA,ROAST BEANS,MYSORE/NUGGETS,1,WELLNESS,KITCHEN,COFFEE,70GM
14366,16-08-2019,KORRA/M/JEANS/2900//DENIM/MJ29KOR013,FS,KORRA JM,MJ29,MENS JEANS,KORRA/M/JEANS/2900,1,CUSTOM,ACCESSORIES,MAKE TO ORDER,FREE SIZE
14367,16-08-2019,MIX/STRIPES/MULTI//100%//WOOL/BLOCK/PRINTED/700040447,FS,JAIPUR MODERN,BLOCK PRINTED,100%  WOOL,MIX/STRIPES/MULTI,1,FASHION,CLOTHS,SCARF,FREE SIZE
14368,16-08-2019,90%/MODAL/10%CASHMERE/90%/MODAL/10%CASHMERE/RUST/7001609,FS,JAIPUR MODERN,RUST,90% MODAL 10%CASHMERE,BAMBOO/STRIPES/CLAMP,1,WOMEN,CLOTHS,SCARF,FREE SIZE
14369,16-08-2019,NEWSPAPER/PENCILS//PAPER/MULTI/GWK001,FS,GOODWORK,MULTI,PENCIL,NEWSPAPER/PENCILS,1,STATIONARY,CLOTHS,STATIONARY,FREE SIZE
14370,16-08-2019,RAINBOW/PENCILS//PAPER/MULTI/GWK002,FS,GOODWORK,MULTI,PENCIL,RAINBOW/PENCILS,1,STATIONARY,CLOTHS,STATIONARY,FREE SIZE
14371,16-08-2019,BLUE/MONTHLY/PLANNER//PAPER/MULTI/GWK012,FS,GOODWORK,MULTI,NOTEBOOK,BLUE/MONTHLY/PLANNER,1,STATIONARY,CLOTHS,STATIONARY,FREE SIZE
14372,16-08-2019,WRAPPING/PAPERS//PAPER/MULTI/GWK027,FS,GOODWORK,MULTI,PAPER,WRAPPING/PAPERS,1,STATIONARY,CLOTHS,STATIONARY,FREE SIZE
14373,16-08-2019,DHURRI///NA/DH-B-005JL033,FS,JOLI,DH-B-005,DHURRI,DHURRI,1,LUGGAGE,ACCESSORIES,BAG,FREE SIZE
14374,16-08-2019,GE/1159//STERLING/SILVER/MTW069,FS,MODERN TWIST,SILVER,GE 1159,GE/1159,1,JEWELLERY,ACCESSORIES,EARRINGS,FREE SIZE
14375,17-08-2019,Plain/white/slip///100%/Cotton//White/26049735,S,INJIRI,WHITE,100% COTTON,Plain/white/slip,1,FASHION,ACCESSORIES,SLIP,SMALL
14376,17-08-2019,RUNNER//2//COTTON/ASSORTEDHN019,35X152,JAIPUR MODERN ASSO,ASSORTED,HEIRLOOM TRIBAL,RUNNER//2,2,HOME,FOOTWEAR,RUNNER,35X152
