,Date,Item,Size,Brand,Color,Design,Style,Qty,Department,Product Category,product,size
13280,2019-04-21,TESSELATION//SILK/MULTIKHT1909,FS,KHATU DESIGN,MULTI,PRINTED SILK,TESSELATION,1.0,WOMEN,CLOTHS,SCARF,FREE SIZE
13281,2019-04-21,VINCI/BEADED/ORANGE/DEGRADE/TFP005,36,TWINS FOR PEACE,ORANGE DEGRADE,GACHA DEGRADE,VINCI,1.0,FOOTWEAR,FOOTWEAR,SHOES,36
13282,2019-04-21,SK60SS1/WW656GM//COTTON/66651/WW1903,FS,WOMEN WEAVES,66651,GM,SK60SS1/WW656GM,1.0,WOMEN,CLOTHS,SCARF,FREE SIZE
13283,2019-04-21,kos27//100%/COTTON/Multi/BLUEKOS1913,M,KOS,Multi BLUE,IKAT MULTI,kos27,1.0,FASHION,CLOTHS,SHIRT,MEDIUM
13284,2019-04-21,BAR/SINGLE//GRAINS/NATURALGOURI/101,FS,GOURI,NATURAL,HEALTH BARS,BAR/SINGLE,4.0,WELLNESS,KITCHEN,EATABLES,FREE SIZE
13285,2019-04-22,POPS/WHOLESALE//QUINOA/WASABIAHF018,FS,OFC,WASABI,ORGANIC,POPS/WHOLESALE,1.0,WELLNESS,KITCHEN,QUINOA,FREE SIZE
13286,2019-04-22,KORRA/M/JEANS/6900//DENIM/MJ69KOR017,FS,KORRA JM,MJ69,MENS JEANS,KORRA/M/JEANS/6900,1.0,CUSTOM,ACCESSORIES,MAKE TO ORDER,FREE SIZE
13287,2019-04-22,MUGHAL/STORY/METAL/NA/AZ079,FS,AZGA,NATURAL,BROOCH 42,MUGHAL/STORY,1.0,JEWELLERY,ACCESSORIES,BROOCH,FREE SIZE
13288,2019-04-22,KORRA/M/JEANS/2900//DENIM/MJ29KOR013,FS,KORRA JM,MJ29,MENS JEANS,KORRA/M/JEANS/2900,1.0,CUSTOM,ACCESSORIES,MAKE TO ORDER,FREE SIZE
13289,2019-04-23,DHURRIE/SP//NA/DH-TO-SP-005JL028,FS,JOLI,DH-TO-SP-005,DHURRIE SP,DHURRIE/SP,1.0,LUGGAGE,ACCESSORIES,BAG,FREE SIZE
13290,2019-04-23,KE043//BRASS/SNAKE/CHARMKC019,FS,KICHU,SNAKE CHARM,GOLD AND BLACK,KE043,1.0,JEWELLERY,ACCESSORIES,EARRINGS,FREE SIZE
13291,2019-04-23,MBBCL/23/BRASS//BRASS/METALLICMBJ084,FS,M BIJOU,METALLIC,MBBCL 23 BRASS,MBBCL/23/BRASS,1.0,JEWELLERY,ACCESSORIES,BRACELETTES,FREE SIZE
13292,2019-04-23,CNO4040G3//COTTON/558/WW1919,FS,WOMEN WEAVES,558,DSI,CNO4040G3,1.0,WOMEN,CLOTHS,SCARF,FREE SIZE
13293,2019-04-23,KR042//BRASS/MAMA/AFRICA/RINGKC050,FS,KICHU,MAMA AFRICA RING,GOLD SILVER,KR042,1.0,JEWELLERY,ACCESSORIES,RINGS,FREE SIZE
13294,2019-04-23,POPS/WHOLESALE//QUINOA/WASABIAHF018,FS,OFC,WASABI,ORGANIC,POPS/WHOLESALE,1.0,WELLNESS,KITCHEN,QUINOA,FREE SIZE
13295,2019-04-23,KORRA/BAG/2900//DENIM/UH29KOR046,FS,KORRA JM,UH29,HANDBAG REMADE,KORRA/BAG/2900,1.0,CUSTOM,ACCESSORIES,BAG,FREE SIZE
13296,2019-04-23,BELGIAN/MILK/CHOCOLATE//GRAINS/NATURAL8908007456214,200 GMS,GOURI,NATURAL,HEALTH  MINIS,BELGIAN/MILK/CHOCOLATE,1.0,WELLNESS,KITCHEN,EATABLES,200
13297,2019-04-23,HANDPAINTED/METAL/NA/AZ102,FS,AZGA,NATURAL,BRACELET 1,HANDPAINTED,1.0,JEWELLERY,ACCESSORIES,BRACELETTES,FREE SIZE
13298,2019-04-23,MBBCL/31/BRASS//BRASS/METALLICMBJ090,FS,M BIJOU,METALLIC,MBBCL 31 BRASS,MBBCL/31/BRASS,1.0,JEWELLERY,ACCESSORIES,BRACELETTES,FREE SIZE
13299,2019-04-23,SEA/TOP//NA/BLACK/DIAMONDAISH587,FS,AISH,BLACK DIAMOND,OG-18-788,SEA/TOP,1.0,FASHION,CLOTHS,TOP,FREE SIZE
13300,2019-04-23,MINI//WOOD/&/METAL/ASSORTEDZZ001,FS,ZEN ZULA,ASSORTED,HAND CRAFTED,MINI,1.0,ACCESSORIES,ACCESSORIES,PLAY CARDS & TOYS,FREE SIZE
13301,2019-04-23,YARDAGE/MALKHA//COTTON/ASSORTED/JMAS065,FS,JAIPUR MODERN ASSO,ASSORTED,ATTAR,YARDAGE/MALKHA,3.0,WOMEN,STATIONARY,YARDAGE,FREE SIZE
13302,2019-04-24,STEP/LATTICE/METAL/NA/AZ108,FS,AZGA,NATURAL,NECK CHAIN 1,STEP/LATTICE,1.0,JEWELLERY,ACCESSORIES,NECKLACE & PENDANT,FREE SIZE
13303,2019-04-24,YARDAGE/MALKHA//COTTON/ASSORTED/JMAS065,FS,JAIPUR MODERN ASSO,ASSORTED,ATTAR,YARDAGE/MALKHA,2.0,WOMEN,STATIONARY,YARDAGE,FREE SIZE
13304,2019-04-24,CHAIN//STERLING/SILVER/MTW078,FS,MODERN TWIST,SILVER,CHAIN,CHAIN,2.0,JEWELLERY,ACCESSORIES,NECKLACE & PENDANT,FREE SIZE
13305,2019-04-24,KORRA/M/JEANS/4900//DENIM/MJ49KOR015,FS,KORRA JM,MJ49,MENS JEANS,KORRA/M/JEANS/4900,1.0,CUSTOM,ACCESSORIES,MAKE TO ORDER,FREE SIZE
13306,2019-04-24,MWAD101801B//COTTON/BEIGE/BROWNTATH001,M,TATH,BEIGE BLACK,Matunga Mandarin Print,MWAD101801B,1.0,FASHION,CLOTHS,SHIRT,MEDIUM
